term.id,term.name,adjusted.p.val,term.size,overlap
GO:0000070,mitotic sister chromatid segregation,3.79709432477008e-09,158,ATM|CENPF|PPP2R1A|ANAPC1|KIF14|ATRX|SMC2|TPR|ESPL1|NCAPD2|RB1|KIF18A|NUP62|AKAP8L|KIF4B|CENPE|DLGAP5|IK|NCAPD3|ANAPC7|CDT1|NUMA1|CUL3|CENPC|RIOK2|NCAPG2|PDS5A|TACC3|TTK|NIPBL|HNRNPU|BUB1|XRCC3|SMC1A|KIF2C|TRIP13|CDK5RAP2|APC|SMC4|KIF23|ANAPC5|RAD21|MAD1L1|NCAPH2|BUB1B|VPS4A|PINX1|NEK6|CHAMP1|DIS3L2|GEN1|TUBG1|VPS4B|KIFC1|NUSAP1|DYNC1LI1|ANAPC4|CHMP4C|NDC80|SLF1|INCENP|LCMT1|PRC1|HIRA|SLF2|CHMP7|BUB3|BECN1|INO80
GO:0000075,cell cycle checkpoint,0.000387986152627094,220,TP53|HRAS|CCND1|ATM|CENPF|EP300|TPR|ATR|BRCA1|RB1|MDC1|GIGYF2|TOP2B|TOP2A|NSUN2|PPP1R10|RINT1|TP53BP1|IK|CASP2|RGCC|EME1|E2F1|ATRIP|CDT1|BLM|CEP63|HORMAD1|TTK|SOX11|TIMELESS|DTL|ATF2|BUB1|XRCC3|TRIP13|CDK5RAP2|APC|CCAR2|USP28|BRIP1|ETAA1|TAOK3|MAD1L1|ERCC6|BUB1B|VPS4A|TOPBP1|BRSK1
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,0.0151455213716039,99,PTEN|EGFR|AKT1|CCND1
GO:0000082,G1/S transition of mitotic cell cycle,0.00157111518471598,283,TP53|PTEN|EGFR|AKT1|CCND1|ATM
GO:0000086,G2/M transition of mitotic cell cycle,7.2970081414518e-08,260,CCND1|ATM|CENPF|PPP2R1A|DYNC1H1|KIF14|CDK4|PCNT|PCM1|CEP135|NES|BRCA1|ALMS1|DCTN1|CUL1|BRD4|BACH1|HAUS8|LATS1|CEP250|CENPJ|RAD51C|KHDRBS1|DNM2|RINT1|CEP290|HMMR|CEP72|BRSK2|AVEN|CNTRL|TUBB4A|PSME4|CKAP5|BLM|CEP63|PSMD2|NEDD1|CEP192|PSMA5|SIN3A|DTL|PRKACA|ODF2|PSMB4|CDK5RAP2|TAOK3|RAD21|CEP57|RCC2|VPS4A|TOPBP1|BRSK1|PINX1|CLSPN|SKP2|PRKAR2B|TAF2|MELK|OPTN|CDC25A|PBX1|PSMA2|TUBG1|HAUS7|VPS4B|PSMD13|ABCB1|HAUS5|MECP2|PSMD1|PSMC2|CHEK2|ZFYVE19|CCP110|FBXL17|CHMP4C|PSMD12|CEP131|LCMT1|CDC25B|TAOK2|STOX1|PSMA1|MAPRE1|ACTR1A|CTC1|MASTL|PSME1|PPP1R12B|PSMB2|FBXL6|USH1C|PSMC4|RAD17|NBN|CHEK1|PSME2|PSMD6|CLASP1|HAUS3|OFD1|PLK4
GO:0000122,negative regulation of transcription by RNA polymerase II,2.5868761668294e-10,875,CTNNB1|TP53|BCOR|CIC|CCND1|AHR|NCOR1|HIVEP1|HCFC1|ATRX|CTCF|ARID1A|TRIM33|EP300|NOTCH1|DNMT1|TPR|CREBBP|NKAP|GCFC2|NSD1|IRF2BPL|TAF3|RB1|SMAD4|SPEN|TFAP2A|BACH1|SUZ12|SMARCA4|IRF3|OTUD7B|CUX1|MED1|CC2D1A|IGHMBP2|RTF1|FOXK1|HBP1|TRPS1|STAT6|ZBTB20|SOX13|HSF4|SP100|NCOR2|LYAR|PIAS1|FOXA1|NOTCH3|KLF5|KHDRBS1|NRIP1|SREBF1|RBM10|MYC|ZFHX3|NR1H4|ZEB1|WFS1|TBL1X|STAT3|DICER1|RARA|POU5F1|WWC1|TRAF6|YEATS2|SIRT2|JARID2|ETV3|REST|GTF2IRD1|PARP15|RIF1|BBX|SUV39H1|NFIC|MEPCE|KAT5|FNIP1|KDM2B|NR2F6|ZNF746|NFATC2|WT1|RUNX1|ZNF354B|HDAC5|MLX|RLIM|EPC1|FOXO3|SMAD2|E2F1|PHF14|NFATC3|ZNF675|CBX8|SMAD3|FOXO1|RFC1|RREB1|MSX1|SDR16C5|PHF12|CUL3|ATF7IP|ENO1|HDAC7|CC2D1B|SUPT5H|SOX6|DNMT3A|ESR1|URI1|TAF1|SP3|ZNF136|PARP1|FOXK2|HDAC9|ZBTB7A|SOX11|JUND|MYPOP|NIPBL|HNRNPU|ZNF254|NFATC4|SIN3A|TIMELESS|TBR1
GO:0000165,MAPK cascade,0.000141958615507347,950,BRAF|CTNNB1|NRAS|PTEN|EGFR|AKT1|HRAS|KIT|PPP2R1A|PTPN22|NCOR1|SPTA1|SPTAN1|ROCK2|PIK3CB|ZFP36L2|NOTCH1|RAPGEF1|AKAP13|MAP3K7|SPTBN1|MET|KIDINS220|RAF1|ACTN2|SPTBN2|MAP3K4|CUL1|PIK3R2|IRS1|ERBB2|SMAD4|ARHGEF5|SH3RF1|JAK1|FLT4|NUP62|IRS2|MED1|MAP4K1|FPR2|RAPGEF2|MAP2K4|ERBB3|ARAF|INSR|TLR3|SYK|MAPK8IP1|PABPN1|MYC|FZD7|SHANK3|SEMA6A|SH2D3C|ALK|CDH2|RB1CC1|FAS|WWC1|TRAF6|MAP2K1|SETX|ADRA2C|MAP3K5|IQGAP1|MAP3K15|SOS1|MAP2K2|JAK3|MID1|WNK2|RANBP9|C5|TIAM1|FLT3|ROR2|TRAF2|TAB1|SH3RF3|F2RL1|ZNF675|SASH1|PSME4|FOXO1|PAK3|LGALS9|ITGAV|CUL3|FBXW7|IRAK3|AKAP12|ZMYND11|LRP1|BRAP|MAPKAPK2|HMGCR|ITPKB|TLR4|PSMD2|KDR|ROBO1|EPHA7|PSMA5|PRKD2|PTK2B|MAP4K2|MUC20|RASGRP4|PTPN6|GLIPR2|PSMB4|RASAL3|GFRA1|OPRM1|EZH2|DMD|DUSP8|NF2|RAP1B|IGFBP3|NOTCH2|STK39|DNAJA1|AREG|CASR|TAOK3|ERRFI1|MAPK4|MADD|PRKCZ|NEFL|TAB3|RASSF2|ERCC6|YWHAZ|IL2RB|MEF2A|LRRK2|NCF1|CD74|IKBKG|DOK4|STK3|EIF3A|PJA2|IKBKB|FGG|PPP2CA|FGFR4|STK25|PTPN11|SRPK2|CD36|CSF1R|JAK2|TP73|MAGED1|ROCK1|NMNAT1|APIP|MAP2K3|NBR1|MAP3K3|SPRY4|MAPK11|PTGER4|PER1
GO:0000186,activation of MAPKK activity,0.025951316469958,53,BRAF|EGFR|RAPGEF1|MAP3K7|KIDINS220|RAF1|MAP3K4
GO:0000209,protein polyubiquitination,0.00430006014120579,340,CTNNB1|ANAPC1|PTPN22|HUWE1|RNF213|RBBP6|BRCA1|ANKIB1|CUL1|HECTD1|DZIP3|THOP1|TRIP12|WWP1|LMO7|TRAF6|HERC5|DYSF|RNF40|TNKS2|TRIM32|UBE3C|TRIM34|TRAF2|UBE2S|TRIM2|UBE3A|PELI3|RLIM|ANAPC7|UBR5|SASH1|KLHL3|PSME4|MKRN1|TRIM3|SPOP|CUL3|FBXW7|LRSAM1|TAF1|PSMD2|FBXO41|FBXO10|TRIM36|RNF20|RNF31|UBE2M|PSMA5|NPEPPS|DTL|PSMB4|TRIM21|NEDD4L|UBE2O|ANAPC5|UBE2A|TRIM38|ZFP91|ZNRF1|SKP2|RNF111|FBXL20|HERC6|FBXL4|ANKRD39|WSB1|CBL|FBXW2|PSMA2|BARD1|PSMD13|AREL1|DDB2|NFE2L1|SHARPIN|PSMD1|PSMC2|NMI|FBXW9|FBXL17|ANAPC4|TOPORS|RNF144A|MIB2|PSMD12|HECW1|MGRN1|FBXO30
GO:0000226,microtubule cytoskeleton organization,3.74044513644106e-14,594,CTNNB1|PPP2R1A|RAC1|BRCA2|MAP1A|DYNC1H1|NCOR1|ASPM|CAMSAP1|ATRX|ROCK2|RHOA|PCNT|TPR|PCM1|CEP135|DST|ESPL1|MET|CAMSAP3|SLAIN2|NAV1|NIN|SETD2|BRCA1|ALMS1|DCTN1|SYNE2|MAP1B|SPICE1|HTT|KIF18A|CCDC88C|PARD3|FMN2|SMC3|NUP62|SPIRE1|PKD2|DNAAF5|CCDC120|HAUS8|TUBGCP6|CEP250|KIF4B|LIMK2|BCAS3|CENPJ|ARHGEF2|MYH9|SLK|CENPE|CLIP2|FSD1|CEP72|BRSK2|FSIP2|MID1|KIAA0753|RANBP9|CUL9|ATXN7|TUBB8|KATNA1|GCC2|NAV3|MYBL2|TRIM46|TUBB4A|PHLDB2|CEP295|CKAP5|NUMA1|CLIP1|CEP63|SBDS|SENP6|EML4|CCDC88B|TRIM36|TACC3|TUBB3|TTK|SIK3|APC2|CEP192|ATAT1|HOOK1|HNRNPU|IQCG|ODF2|XRCC3|SPC25|CHD3|DVL1|BCCIP|STIL|SMC1A|KIF2C|RTTN|CDK5RAP2|APC|KIAA1614|FER|NEFH|GOLGA2|SPAG1|KIF3B|KIF23|DNAH5|PRKCZ|ITGB1|NEFL|CEP57|MAP4|FIGNL1|RCC1|BRSK1|CEP350|CCDC170|MAP6|PDCD6IP|XPO1|MAP7D1|ROCK1|RPAP3|CHORDC1|NEK6|DNAH1|RSPH4A|INPP5J|GEN1|ABL1|BICD2|KIF2B|CEP68|TUBG1|CRMP1|HAUS7|VPS4B|LLGL1|LRRC49|MLH1|EPHA3|CKAP2|VCP|HAUS5|CALML3|HSPA1B|CLTC|KIFC1|MAP7D3|MECP2|WDR62|CHEK2|CCDC65|HYDIN|MZT1|NUSAP1|KIF20A|DYNC1LI1|CCP110|TRPV4|CHMP4C|NDC80|GAS2|KATNAL2|TTL|RASSF1|SAXO1|CENPH|CEP131|INCENP|MAP1S|TUBE1|TUBB2A|PRC1|TUBD1|CEP85|RAE1|CENPA|USP33|SPRY2|HSPA1A|HDAC6|STAG1|DNAAF1|NUBP1|BBS4|NDEL1|INO80|TUBGCP5|STMND1|EML1|MAPRE1|KIF24|E2F4|CNTROB|GBA2|TBCD|CFAP74|CLASP2|DYNLT1|MARK1|CCSER2|HDAC3|TUBGCP2|ZNF207|RASSF7|CHEK1|CLASP1|HAUS3|PLK4|CHMP2B|BIRC5|PIBF1|SPAST|CDK5|DNAH8|TRAF3IP1|GAS2L2
